intersection,before,after_5,after_10,after_15,improve_5(%),improve_10(%),improve_15(%)
고재4,2305.680707762557,2274.812174657534,2243.9436415525115,2213.0751084474887,1.338803460561469,2.6776069211228988,4.016410381684348
구성3,2676.586073059361,2639.839446347032,2603.0928196347036,2566.3461929223745,1.3728916503823443,2.7457833007646886,4.1186749511470495
굴울(변전소)4,1981.2824200913242,1954.5038641552512,1927.725308219178,1900.946752283105,1.3515769213173883,2.7031538426347876,4.054730763952176
남부5,2025.8391552511416,1997.1809531963468,1968.5227511415526,1939.864549086758,1.4146336336974454,2.829267267394857,4.243900901092291
도로원점3,2436.7022831050226,2403.993635844749,2371.284988584475,2338.5763413242007,1.3423325240453232,2.6846650480906646,4.026997572136007
두정역사거리,1985.6605037513398,1958.3001272775991,1930.9397508038587,1903.5793743301178,1.3778980053262382,2.755796010652465,4.1336940159787146
방아다리(이마트)4,2483.849086757991,2450.845371004566,2417.841655251141,2384.837939497717,1.328732728947813,2.657465457895626,3.986198186843421
백석사거리,2331.2335209003218,2300.4074758842444,2269.5814308681674,2238.75538585209,1.322306184245857,2.6446123684916945,3.9669185527375515
백석충전소사거리,2575.763531618435,2541.9949959807072,2508.22646034298,2474.4579247052516,1.3110107051057587,2.6220214102114996,3.933032115317276
번영로(갤러리아)4,2267.2602739726026,2237.304326484018,2207.348378995434,2177.3924315068493,1.3212399049402899,2.6424798098805597,3.9637197148208494
불당4,3356.5228310502284,3317.019343607306,3277.5158561643834,3238.0123687214614,1.1769169891378988,2.3538339782757975,3.5307509674136823
불당현대4,3260.1345890410958,3220.860296803653,3181.58600456621,3142.3117123287675,1.2046831553967994,2.4093663107936125,3.6140494661903984
삼성전관3,2587.030821917808,2549.6971860730596,2512.3635502283105,2475.029914383562,1.4431075010181986,2.8862150020364146,4.3293225030546125
새말(한라APT입구)4,3990.2536529680365,3937.887614155251,3885.521575342466,3833.1555365296804,1.3123486215928788,2.624697243185746,3.9370458647786246
서부대로사거리,2019.7840300107182,1993.637493301179,1967.4909565916398,1941.3444198821007,1.294521410261896,2.5890428205237805,3.8835642307856655
성정롯데4,2173.311415525114,2146.3287043378996,2119.3459931506845,2092.3632819634704,1.2415483116898387,2.4830966233796983,3.724644935069516
시청4,2481.6428082191783,2452.283053652968,2422.923299086758,2393.5635445205476,1.1830773739464375,2.366154747892875,3.549232121839332
쌍용도서관3,2282.0550228310503,2250.4402625570774,2218.825502283105,2187.2107420091324,1.3853636287328686,2.7707272574657176,4.156090886198567
쌍용동4,3057.960388127854,3017.8091324200914,2977.6578767123287,2937.506621004566,1.31300771140283,2.62601542280566,3.93902313420849
쌍용초교4,2169.5907534246576,2140.491946347032,2111.393139269406,2082.294332191781,1.3412117945144155,2.682423589028831,4.023635383543226
여성회관4,2968.7800228310502,2931.5029680365296,2894.225913242009,2856.9488584474884,1.2556354633164413,2.5112709266328825,3.766906389949324
용암4,2219.655707762557,2189.044897260274,2158.434086757991,2127.8232762557077,1.3790792146381674,2.758158429276335,4.137237643914502
원형육교4,2906.3529680365295,2865.293955479452,2824.2349429223746,2783.1759303652966,1.4127331748289367,2.8254663496578734,4.238199524486825
이수(3산업)4,2843.282305936073,2808.807614155251,2774.332922374429,2739.8582305936075,1.212496265631005,2.42499253126201,3.6374887968929994
인쇄창4,2392.970319634703,2362.884423515982,2332.7985273972604,2302.7126312785385,1.2572615661741318,2.5145231323482635,3.771784698522414
일봉산4,2848.668835616438,2809.838818493151,2771.0088013698632,2732.178784246575,1.3630934083246853,2.7261868166493866,4.089280224974104
천안대로4,3213.905707762557,3171.171444063927,3128.4371803652966,3085.7029166666666,1.329667625139524,2.6593352502790624,3.9890028754185862
청당동입구4,2536.266666666667,2500.621170091324,2464.9756735159817,2429.3301769406394,1.4054317333354591,2.8108634666709,4.216295200006341
청삼4,1812.6682648401827,1786.9870376712329,1761.305810502283,1735.6245833333332,1.4167637657193746,2.833527531438749,4.250291297158124
하신3,2701.0599315068494,2664.1782648401827,2627.296598173516,2590.4149315068494,1.3654516227668951,2.7309032455337903,4.096354868300685
한들사거리,2753.2887191854234,2716.572454448017,2679.856189710611,2643.1399249732044,1.3335421193411523,2.6670842386823046,4.0006263580234735
